"Name","Chr:bp","Genomic size (bp)","Class","Source Study","Study description"
"nsv4654248","14:68429797-68429850","54","CNV","dbVar:nstd186","NCBI database of human genomic structural variation: A curated dataset of all structural variants in dbVar that meet the following criteria: were part of a study with at least 100 samples; included allele frequency data; had an allele frequency of >=0.01 in at least one population. Data content of this study is subject to change as new data become available. See Variant Summary counts for nstd186 in [dbVar Variant Summary|/dbvar/content/var_summary/#nstd186]."
"nsv3230579","14:68429797-68429851","55","mobile element deletion","dbVar:nstd152","NCBI database of human genomic structural variation: Chaisson 2018 ""This is an integrated callset from three individuals (HG00514, HG00733, and NA19240) sequenced using Illumina, Illumina 3.5 kbp jumping libraries, Illumina 6kbp jumping libraries, PacBio, BioNano Genomics, 10x, Hi-C, and Strand-seq."""
"nsv3350458","14:68429798-68429851","54","mobile element deletion","dbVar:nstd162","NCBI database of human genomic structural variation: Audano 2019 ""Although the accuracy of the human reference genome is critical for basic and clinical research, structural variants (SVs) have been difficult to assess because data capable of resolving them have been limited. To address potential bias, we generated long-read sequence data on thirteen genomes. Systematically merging SVs yielded 95,827 sequence-resolved insertions, deletions, and inversions. Among these, we identified more than 1 Mbp of SVs shared among all genomes and more than 6.5 Mbp of SVs in the majority of genomes indicating errors or extreme minor alleles captured in the reference."""
"esv3634825","14:68433260-68439210","5,951","CNV","DGVa:estd214","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Phase 3"
"nsv4214001","14:68433289-68439321","6,033","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv4222745","14:68433289-68443511","10,223","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"esv28449","14:68435098-68439314","-","sequence alteration","DGVa:estd20","Database of Genomic Variants Archive: Conrad 2010 ""Origins and functional impact of copy number variation in the human genome."" PMID:19812545"
"esv14631","14:68435098-68439314","4,217","CNV","DGVa:estd20","Database of Genomic Variants Archive: Conrad 2010 ""Origins and functional impact of copy number variation in the human genome."" PMID:19812545"
"nsv4629826","14:68435098-68439314","4,217","CNV","dbVar:nstd183","NCBI database of human genomic structural variation: This CNV consensus set represents common population CNVs with allele frequencies as displayed in the DECIPHER download file [https://decipher.sanger.ac.uk/files/downloads/population_cnv.txt.gz|https://decipher.sanger.ac.uk/files/downloads/population_cnv.txt.gz]. The set is comprised of a number of carefully selected, high resolution controls sets where frequency information is available. Data sets included are: 42 Million study (raw call lists and genotyped regions), WTCCC study (merged Affy6 data set), 1000 Genomes pilot (merged deletions and tandem duplications) and DDD study (national blood service controls and generation Scotland controls)."
"nsv4670657","14:68435098-68439314","4,217","CNV","dbVar:nstd186","NCBI database of human genomic structural variation: A curated dataset of all structural variants in dbVar that meet the following criteria: were part of a study with at least 100 samples; included allele frequency data; had an allele frequency of >=0.01 in at least one population. Data content of this study is subject to change as new data become available. See Variant Summary counts for nstd186 in [dbVar Variant Summary|/dbvar/content/var_summary/#nstd186]."
"nsv1748524","14:68435493-68435510","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv1023860","14:68435509-68435510","2","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"nsv525928","14:68437342-68439257","1,916","CNV","DGVa:nstd21","Database of Genomic Variants Archive: Shaikh 2009 ""High-resolution mapping and analysis of copy number variations in the human genome"""
"nsv85677","14:68439154-68439163","10","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1771882","14:68439154-68439202","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv76247","14:68439162-68439165","4","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv79572","14:68439177-68439177","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv85797","14:68439180-68439189","10","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv76248","14:68439183-68439188","6","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv1679828","14:68439191-68439193","3","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"esv2580841","14:68439506-68439506","-","insertion","DGVa:estd197","Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
"esv2926279","14:68439506-68439506","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"nsv81426","14:68439507-68439507","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv1675111","14:68439507-68439507","-","insertion","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"esv2322435","14:68439507-68439507","-","insertion","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"nsv1748064","14:68440754-68440777","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1157730","14:68440763-68440763","-","translocation","DGVa:nstd106","Database of Genomic Variants Archive: Alsmadi 2014 ""Comprehensive analysis of two personal genomes of Saudi arabian ancestry from Kuwait"""
"nsv4215138","14:68441199-68442609","1,411","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"esv2926281","14:68441322-68441322","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
